bin_start,bin_end,bin_mid,predicted_mean,actual_rate,count
0.0,0.1,0.05,0.0431,0.0407,76830
0.1,0.2,0.15,0.1529,0.1696,11560
0.2,0.3,0.25,0.2185,0.2098,3209
